country,time,age,value
Austria,2014,Y15-24,33.324999999999996
Austria,2019,Y15-24,33.3375
Bélgica,2014,Y15-24,33.333333333333336
Bélgica,2019,Y15-24,33.333333333333336
Bulgaria,2014,Y15-24,33.31666666666667
Bulgaria,2019,Y15-24,33.31666666666667
Chipre,2014,Y15-24,33.329166666666666
Chipre,2019,Y15-24,33.333333333333336
República Checa,2014,Y15-24,33.333333333333336
República Checa,2019,Y15-24,33.324999999999996
Alemania,2014,Y15-24,33.32083333333333
Alemania,2019,Y15-24,33.34166666666667
Dinamarca,2014,Y15-24,33.32083333333333
Dinamarca,2019,Y15-24,33.32083333333333
Estonia,2014,Y15-24,33.324999999999996
Estonia,2019,Y15-24,33.324999999999996
Grecia,2014,Y15-24,33.333333333333336
Grecia,2019,Y15-24,33.3375
España,2014,Y15-24,33.329166666666666
España,2019,Y15-24,33.324999999999996
Finlandia,2014,Y15-24,33.329166666666666
Finlandia,2019,Y15-24,33.3375
Francia,2014,Y15-24,33.3375
Francia,2019,Y15-24,33.333333333333336
Croacia,2014,Y15-24,33.329166666666666
Croacia,2019,Y15-24,33.333333333333336
Hungría,2014,Y15-24,33.324999999999996
Hungría,2019,Y15-24,33.324999999999996
Irlanda,2014,Y15-24,33.324999999999996
Irlanda,2019,Y15-24,33.333333333333336
Islandia,2014,Y15-24,33.324999999999996
Islandia,2019,Y15-24,33.324999999999996
Italia,2014,Y15-24,33.329166666666666
Italia,2019,Y15-24,33.333333333333336
Lituania,2014,Y15-24,33.324999999999996
Lituania,2019,Y15-24,34.7321129707113
Luxemburgo,2014,Y15-24,33.329166666666666
Luxemburgo,2019,Y15-24,33.333333333333336
Letonia,2014,Y15-24,33.34166666666667
Letonia,2019,Y15-24,33.329166666666666
Malta,2014,Y15-24,33.3375
Malta,2019,Y15-24,33.325
Países Bajos,2014,Y15-24,33.31666666666667
Países Bajos,2019,Y15-24,33.329166666666666
Noruega,2014,Y15-24,33.333333333333336
Noruega,2019,Y15-24,33.329166666666666
Polonia,2014,Y15-24,33.333333333333336
Polonia,2019,Y15-24,33.324999999999996
Portugal,2014,Y15-24,34.73237447698745
Portugal,2019,Y15-24,33.3375
Rumanía,2014,Y15-24,33.333333333333336
Rumanía,2019,Y15-24,33.3375
Serbia,2014,Y15-24,33.3
Serbia,2019,Y15-24,33.3375
Suecia,2014,Y15-24,33.329166666666666
Suecia,2019,Y15-24,33.324999999999996
Eslovenia,2014,Y15-24,33.333333333333336
Eslovenia,2019,Y15-24,34.73384103641457
Eslovaquia,2014,Y15-24,33.3375
Eslovaquia,2019,Y15-24,34.74145480225989
Turquía,2014,Y15-24,33.333333333333336
Turquía,2019,Y15-24,34.73228730822873
Reino Unido,2014,Y15-24,33.329166666666666
Reino Unido,2019,Y15-24,33.3
